,ID,Pay Rate
0,42962,63.69
1,99703,84.76
2,86354,134.80
3,93505,117.14
4,77026,102.47
5,37425,86.25
6,28667,166.47
7,82624,53.49
8,39104,123.10
9,27918,164.86
10,24556,193.00
11,91779,78.66
12,27525,63.05
13,24298,142.84
14,12358,126.28
15,29676,127.20
16,21813,107.14
17,45323,136.39
18,67086,104.33
19,55382,175.65
20,67164,49.67
21,61511,126.51
22,50587,145.64
23,77229,93.90
24,26611,67.02
25,22773,46.71
26,91509,119.83
27,20742,60.18
28,28367,139.00
29,54228,100.62
30,18398,125.15
31,13403,99.63
32,42481,115.54
33,50724,69.35
34,72294,169.73
35,55035,80.46
36,95969,51.80
37,27220,132.82
38,73973,99.37
39,31336,79.42
40,90064,108.28
41,78076,99.96
42,57325,89.85
43,68271,160.41
44,94281,122.57
45,54943,151.42
46,34936,118.40
47,72531,135.95
48,40371,121.73
49,93356,40.02
50,66043,65.03
51,29259,143.80
52,41255,65.29
53,68162,128.08
54,93291,70.71
55,91165,112.22
56,27477,131.52
57,30007,133.27
58,66928,132.67
59,96730,110.70
60,84888,100.76
61,48364,52.87
62,24674,135.17
63,46885,170.89
64,60254,124.47
65,92967,107.78
66,59559,51.26
67,58578,89.79
68,77553,46.22
69,12086,83.30
70,61182,117.28
71,27809,103.67
72,47950,89.30
73,41483,172.57
74,22512,126.25
75,71540,98.62
76,14338,107.77
77,59652,55.24
78,84394,101.90
79,16510,138.00
80,42699,111.14
81,90865,89.71
82,62543,150.77
83,11420,80.87
84,81286,174.64
85,54299,74.11
86,35499,182.93
87,74342,93.88
88,31814,157.89
89,89088,129.04
90,79748,57.78
91,20183,89.59
92,88789,110.28
93,80070,49.34
94,29661,103.02
95,68383,137.09
96,79072,75.81
97,96960,69.18
98,44593,130.52
99,10867,93.74
100,78745,87.23
101,57218,145.04
102,34878,60.12
103,61945,104.34
104,82422,92.20
105,69084,154.53
106,32038,114.43
107,16213,70.28
108,57999,71.87
109,29562,139.77
110,94645,97.31
111,29671,115.16
112,76041,91.45
113,75252,126.47
114,73182,139.94
115,63780,115.29
116,15807,102.07
117,16043,142.86
118,70197,98.22
119,59303,109.24
120,79316,159.41
121,32930,14.25
122,75656,150.22
123,27397,134.86
124,59017,84.38
125,93522,69.88
126,40851,65.99
127,33080,72.86
128,21164,77.00
129,10863,110.09
130,63262,42.09
131,20449,75.33
132,93013,116.27
133,10171,97.86
134,20273,138.97
135,21851,67.09
136,59621,54.59
137,74064,85.20
138,89178,97.20
139,30938,138.49
